#{"t_start": 1779012130.100302, "env_id": "f110-v0"}
r,l,t,is_success
961.37607,348,544.579956,False
267.077546,554,545.937253,False
-17.881969,55,546.146283,False
617.557212,281,547.111098,False
1493.194369,509,549.71449,False
2362.625546,808,553.14826,False
26.517152,61,553.376262,False
3121.089605,1017,557.410147,False
-27.397352,67,557.776574,False
32.779908,68,558.13267,False
1155.129779,398,559.10379,False
505.285173,212,559.996119,False
2920.266032,974,564.258308,False
260.994023,143,565.869653,False
277.157485,131,566.562918,False
159.85137,318,567.331973,False
3477.357446,1153,571.304231,False
1039.002534,344,572.44022,False
-16.701452,55,573.787544,False
421.730654,184,574.409764,False
1401.520079,487,575.635424,False
3274.959636,1056,579.625623,False
731.80609,257,580.164714,False
1114.062581,366,582.252894,False
903.028467,356,583.167771,False
33.126724,70,583.523015,False
17.656526,57,583.995663,False
-49.733735,431,586.501737,False
1142.105032,428,587.770685,False
460.739451,174,588.1896,False
1432.132527,771,591.544082,False
445.707478,179,592.118937,False
1662.988649,602,595.354359,False
962.304823,343,596.289899,False
6893418.816688,1161,599.425176,False
531.976546,241,600.094211,False
781.85603,290,600.931593,False
56.332705,80,601.171393,False
1829.827413,625,604.113241,False
58.832312,69,604.329413677.688916,1358,605.49777,False
363.791811,161,607.054827,False
779.0199,282,608.003087,False
814.761431,325,608.956494,False
1603.9262555.015678,865,611.9373442238.4703064.79218,983,615.614703,3422.396397,1171,619.165531,False
545.801312,214,619.86582,False
-10.813008,51,620.055819,False
-3.158769,1402,624.453399,False
1616.522085,616,627.331048,False
1170.3913,428,628.335436,False
41.538269,69,628.571326,False
1441.27986,484,630.917184,False
98.9135625.812807,1901,636.224293,False
63.401451,75,636.576349,False
2015.173396,671,639.663285,False
720.319397,264,640.488012,False
2530.234923,858,644.055323,False
58.469676,74,644.490449,False
10.188424,57,653.715782,False
817.388223,301,654.589906,False
602.408814,226,656.525949,False
2925.454238,982,660.58633,False
907.489767,363,661.787786,False
346.964667,149,662.183098,False
2797.82753,913,665.916928,False
607.77083,234,666.550649,False
2217.535761,791,670.083949,False
2805.373483,918,673.940844,False
1019.552244,367,675.200333,False
53.244335,82,675.451829,False
369.370752,572,678.414783,False
847.85384,305,679.174023,False
821.601287,303,680.17922,False
2528.824433,859,683.467976,False
1537.141921,525,685.925553,False
34.888577,68,686.280497,False
39.451223,63,686.512293,False
4436.183363,1470,691.395624,False
3942.560912,1339,696.882563,False
1044.919592,368,697.750404,False
30.900502,66,698.1168,False
456.575847,178,698.798924,False
658.429375,223,699.553859,False
540.661043,211,701.33081,False
611.760002,248,702.24657,False
485.181167,209,702.828213,False
10.820414,62,703.056059,False
2334.564596,842,707.006134,False
1342.038622,469,708.224295,False
567.496709,237,710.103544,False
964.286256,346,711.18212,False
41.858417,428,712.169912,False
1292.125987,454,714.352805,False
17.189849,69,714.590354,False
37.479513,68,714.819232,False
823.518848,307,715.84724,False
43.475416,68,716.080552,False
889.796118,348,718.574025,False
1596.469949,577,720.175205,False
1261.445665,443,722.817259,False
28.50978,73,723.191803,False
2522.767443,867,726.27195,False
2367.557532,772,728.161434,False
886.83319,603,731.230528,False
1295.404292,585,734.005697,False
1425.856673,508,735.45471,False
1556.517575,540,738.3369,False
522.290686,215,739.064988,False
-12.758705,46,739.262981,False
371.333207,176,739.926625,False
842.051401,304,741.059515,False
34.150384,73,741.302504,False
974.071774,353,743.692403,False
516.963486,211,744.295389,False
55.789532,74,744.625843,False
39.586881,78,745.012017,False
1032.370026,364,746.129333,False
957.867731,343,748.376009,False
2074.334502,715,750.342636,False
508.965353,208,752.422581,False
1763.072293,616,753.922067,False
609.833903,236,754.846298,False
-6.175971,48,756.362514,False
36.338612,75,756.646024,False
1743.979118,609,758.369855,False
415.938708,165,758.929616,False
1023.656344,342,761.488783,False
44.648803,71,761.761511,False
2530.962477,1139,766.372029,False
-42.933334,60,766.602872,False
2031.66421,1110,770.807317,False
1890.537081,943,775.120322,False
595.150966,220,775.960007,False
1529.51433,745,779.341944,False
1143.915805,435,780.706134,False
4233.898432,1410,786.868709,False
1043.719988,435,788.131464,False
592.28539,239,788.649669,False
604.821253,244,790.590725,False
1353.783232,533,791.986353,False
30.557433,57,792.212087,False
1273.628821,459,794.706143,False
1010.240288,341,795.661268,False
48.579357,69,796.059213,False
19.075153,51,796.280514,False
784.742504,287,797.46519,False
365.308876,146,798.098594,False
1145.09778,407,800.319189,False
28.444984,63,800.676143,False
3416.018657,1810,807.555506,False
322.91756,153,808.183619,False
459.445727,200,808.877551,False
2921.186779,995,812.47441,False
1815.958704,637,815.352789,False
381.072797,156,815.739213,False
571.943035,223,816.734083,False
534.830494,193,817.300589,False
752.903695,298,818.315434,False
1231.981556,411,820.453422,False
546.2400984566.229625,1522,824.271963.235225,3600.957579,1382,829.101065,False
1112.158499,411,831.626344,False
65.639152,77,831.869828,False
213.902125,324,832.680637,False
1773.081633,623,835.358205,False
47.431832,66,835.591741,False
1820.42956,669,837.589648,False
387.348262,164,839.228627,False
2143.310664,732,841.516327,False
1028.52553,369,843.727721,False
29.622169,66,843.969138,False
6168.091533,2067,851.846914,False
445.066989,250,852.49946,False
42.398198,70,852.73824,False
208.22197,822,875.272026,False
462.632869,183,875.830969,False
1384.369666,486,877.141309,False
459.519392,227,879.031139,False
1450.722511,506,880.786691,False
530.271456,210,881.384572,False
557.947482,259,883.190304,False
820.183555,284,884.299179,False
1103.014515,404,885.71772,False
4156.725845,1368,891.384232,False
2641.568509,900,894.800974,False
64.048934,80,895.068915,False
661.619208,237,895.704327,False
1944.207649,667,897.231674,False
728.965719,279,899.367208,False
1227.05407,383,900.136783,False
2195.152365,707,903.637305,False
1237.388606,434,904.595019,False
2561.85818,859,907.920123,False
1403.807637,487,910.472762,False
82.116513,74,910.718828,False
626.2204.618952,725,912.506665,False
525.994268,208,913.087931,-5.042405,654,914.823043,False
45.836508,68,915.17241,False
784.006025,298,916.16887,False
1179.184932,402,917.20197,False
1148.694427,389,919.295802,False
1385.08343,843,922.904616,False
1053.717299,378,923.75071,False
12.744637,62,923.966198,False
1159.085673,423,925.269311,False
42.906539,66,925.500421,False
347.459192,1197,930.725915,False
1459.694589,527,931.770667,False
1824.041311,611,935.093243,False
1626.557443,570,936.625493,False
-1.039346,68,936.868913,False
23326.73855,1220,943.066737,False
2970.873185,982,945.779178,False
903.120388,343,947.940745,False
1012.620813,353,948.740466,False
1442.249795,486,951.159962,False
1521.691414,529,952.634614,False
1642.451492,569,955.305867,False
408.578657,158,955.698401,False
60.517941,76,956.190979,False
92.973504,81,956.437069,Fal20803527.27249,1116,960.379465,False
38.739078,664,963.107399,False
1690.531566,555,964.886935,False
8.138956,61,965.115619,False
2443.409701,788,968.915253,False
3204.346919,1215,972.9065,False
33.488695,64,973.135494,False
643.124058,240,975.243024,False
1146.174125,434,976.480247,False
583.288386,246,977.502037,False
1550.609167,533,979.745568,False
426.140995,160,980.2582,False
7261.256078,2431,988.686387,False
821.610721,295,990.615269,False
4105.516894,1355,994.949024,False
803.818354,322,995.578272,False
2362.553766,852,998.703111,False
2169.189194,984,1002.700252,False
1509.506335,523,1005.024487,False
1972.87219,672,1006.362157,False
1749.288194,606,1009.543629,False
2065.957968,777,1012.552401,False
1872.111464,637,1014.758624,False
5264.401799,1817,1021.914995,False
703.862598,268,1022.86536,False
1623.22054,807,1026.058823,False
409.993898,187,1026.779732,False
975.593544,356,1029.408099,False
1609.164338,548,1030.822982,False
1471.01204,554,1033.667744,False
19.763523,65,1033.99132,False
-13.576802,61,1034.239477,False
478.811719,211,1035.069669,False
645.630966,228,1035.741724,False
689.740195,289,1036.401511,False
950.071406,339,1038.595694,False
2765.334833,1716,1043.964381,False
1515.898839,506,1046.887657,False
2846.602431,957,1050.663403,False
1801.552804,623,1052.238867,False
443.082268,183,1054.002267,False
1134.667649,395,1055.303964,False
729.779533,247,1056.095277,False
2081.28182,697,1059.29486,False
2237.283672,784,1062.614422,False
439.730732,179,1063.322433,False
45.951968,70,1063.705622,False
807.127589,340,1064.941651,False
53.676777,76,1065.317281,False
1691.161226,544,1067.917425,False
1213.874467,438,1068.862898,False
377.449678,171,1070.892766,False
1056.609276,355,1081.045506,False
592.941102,230,1081.660806,False
43.93927,69,1081.901551,False
24.43562,63,1082.376277,False
553.39105,210,1082.855844,False
1538.968945,491,1085.447565,False
2652.627759,898,1088.598732,False
-7.080114,60,1088.819142,False
1596.387468,545,1090.245363,False
620.296856,226,1092.225228,False
1182.78597,421,1093.398735,False
1206.112889,434,1094.428046,False
368.857914,179,1096.246272,False
836.40043,2048,1102.933126,False
2634.227257,893,1104.938403,False
1146.414767,400,1107.092207,False
1007.207782,351,1107.777011,False
867.447007,345,1109.939512,False
2023.932658,684,1111.572056,False
1046.644124,377,1113.700991,False
2286.783647,798,1115.77662,False
102.745987,447,1118.51893,False
378.605165,179,1119.05112,False
793.405043,301,1119.906691,False
5740.83715,1898,1127.016083,False
1153.848724,394,1128.056968,False
20.101291,70,1129.589307,False
799.046012,287,1130.352255,False
4015.724103,1294,1134.979032,False
762.383224,305,1135.717185,False
1832.577922,617,1138.349595,False
1929.260248,677,1141.036428,False
883.088907,430,1141.879184,False
1479.90197,512,1144.337552,False
556.710382,211,1144.822158,False
1681.298065,561,1146.090903,False
1258.352713,457,1148.449355,False
19.626783,66,1148.819501,False
2349.810225,835,1151.936755,False
348.519744,162,1152.448902,False
1630.081539,633,1154.303302,False
920.785377,369,1156.228099,False
1884.447164,675,1157.944093,False
434.011072,172,1159.564157,False
5.265675,69,1159.932438,False
2008.454914,680,1161.656528,False
1149.799277,393,111838.742186,661,11132.291348,417,111654.127925,580,1166.859725,False
