s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
115.8035278,-48.6061799,-12.2883403,-0.7407210,-0.4073026,5.6766435,-5101.2028715,12.0000000
116.3711921,-48.2324118,-11.8610930,-0.7187327,-0.1937088,5.6766435,-5051.2890882,12.0000000
116.9388565,-47.8633214,-11.4297983,-0.7078362,-0.0960004,5.6766435,-5003.2397049,12.0000000
117.5065208,-47.4966635,-10.9964339,-0.7022097,-0.0495707,5.6766435,-4956.2399162,12.0000000
118.0741852,-47.1313173,-10.5619629,-0.6991867,-0.0266343,5.6766435,-4909.8876330,12.0000000
118.6418495,-46.7667049,-10.1268760,-0.6974989,-0.0148695,5.6766435,-4863.9869574,12.0000000
119.2095139,-46.4025181,-9.6914328,-0.6965213,-0.0086136,5.6766435,-4818.4421306,12.0000000
119.7771782,-46.0385869,-9.2557760,-0.6959344,-0.0051705,5.6766435,-4773.2066135,12.0000000
120.3448426,-45.6748145,-8.8199865,-0.6955698,-0.0032123,5.6766435,-4728.2587006,12.0000000
120.9125069,-45.3110422,-8.3841970,-0.6955698,0.0000000,5.6766435,-4683.5978795,12.0000000
121.4801713,-44.9472698,-7.9484075,-0.6955698,-0.0000000,5.6766435,-4639.2114929,12.0000000
122.0478356,-44.5834974,-7.5126180,-0.6955698,0.0000000,5.6766435,-4595.0943132,12.0000000
122.6155000,-44.2197251,-7.0768285,-0.6955698,-0.0000000,5.6766435,-4551.2540727,12.0000000
123.1831644,-43.8559527,-6.6410390,-0.6955698,-0.0000000,5.6766435,-4507.6987509,12.0000000
123.7508287,-43.4921804,-6.2052495,-0.6955698,0.0000000,5.6766435,-4464.4365823,12.0000000
124.3184931,-43.1284080,-5.7694600,-0.6955698,-0.0000000,5.6766435,-4421.4760630,12.0000000
124.8861574,-42.7646356,-5.3336705,-0.6955698,0.0000000,5.6766435,-4378.8259577,12.0000000
125.4538218,-42.4008633,-4.8978810,-0.6955698,0.0000000,5.6766435,-4336.4953070,12.0000000
126.0214861,-42.0370909,-4.4620915,-0.6955698,0.0000000,5.6766435,-4294.4934342,12.0000000
126.5891505,-41.6733186,-4.0263020,-0.6955698,-0.0000000,5.6766435,-4252.8299523,12.0000000
127.1568148,-41.3095462,-3.5905125,-0.6955698,-0.0000000,5.6766435,-4211.5147706,12.0000000
127.7244792,-40.9457738,-3.1547230,-0.6955698,0.0000000,5.6766435,-4170.5581013,12.0000000
128.2921435,-40.5820015,-2.7189335,-0.6955698,-0.0000000,5.6766435,-4129.9704658,12.0000000
128.8598079,-40.2182291,-2.2831440,-0.6955698,-0.0000000,5.6766435,-4089.7627008,12.0000000
129.4274722,-39.8544568,-1.8473545,-0.6955698,-0.0000000,5.6766435,-4049.9459639,12.0000000
129.9951366,-39.4906844,-1.4115650,-0.6955698,0.0000000,5.6766435,-4010.5317392,12.0000000
130.5628009,-39.1269120,-0.9757755,-0.6955698,-0.0000000,5.6766435,-3971.5318415,12.0000000
131.1304653,-38.6682358,-0.6413224,-0.9407600,2.1386337,5.6766435,-3941.9833674,12.0000000
131.6981296,-38.1405858,-0.4319702,-1.1930832,2.1995430,5.6766435,-3910.4603235,12.0000000
132.2657940,-37.5776063,-0.3591907,-1.4422338,2.1724655,5.6766435,-3867.0049606,12.0000000
132.8334583,-37.0131974,-0.4198981,-1.6779437,2.0575112,5.6766435,-3813.9110940,12.0000000
133.4011227,-36.4746404,-0.5993396,-1.8924174,1.8751368,5.6766435,-3754.8922681,12.0000000
133.9687870,-35.9794618,-0.8769022,-2.0816882,1.6576046,5.6766435,-3694.0981666,12.0000000
134.5364514,-35.5361479,-1.2314661,-2.2454173,1.4360756,5.6766435,-3635.1101460,12.0000000
135.1041157,-35.1467727,-1.6445397,-2.3857184,1.2320514,5.6766435,-3580.4130303,12.0000000
135.6717801,-34.7058122,-2.0020262,-2.2520275,-1.1743585,5.6766435,-3542.0058135,12.0000000
136.2394444,-34.2305445,-2.3124509,-2.1493880,-0.9027043,5.6766435,-3507.9349864,12.0000000
136.8071088,-33.7320766,-2.5840620,-2.0697094,-0.7012540,5.6766435,-3467.9118028,12.0000000
137.3747731,-33.2175132,-2.8237853,-2.0067749,-0.5541098,5.6766435,-3423.9213213,12.0000000
137.9424375,-32.6914531,-3.0371011,-1.9560325,-0.4468660,5.6766435,-3377.2405056,12.0000000
138.5101019,-32.1569331,-3.2282324,-1.9142040,-0.3684174,5.6766435,-3328.6886470,12.0000000
139.0777662,-31.6160045,-3.4003925,-1.8789271,-0.3107375,5.6766435,-3278.7981043,12.0000000
139.6454306,-31.0700862,-3.5560075,-1.8484835,-0.2681776,5.6766435,-3227.9214739,12.0000000
140.2130949,-30.5201826,-3.6968932,-1.8216024,-0.2368033,5.6766435,-3176.2971787,12.0000000
140.7807593,-29.9670208,-3.8243876,-1.7973233,-0.2138861,5.6766435,-3124.0896130,12.0000000
141.3484236,-29.4111394,-3.9394471,-1.7748998,-0.1975431,5.6766435,-3071.4140024,12.0000000
141.9160880,-28.8529470,-4.0427142,-1.7537308,-0.1864924,5.6766435,-3018.3520552,12.0000000
142.4837523,-28.2927625,-4.1345627,-1.7333114,-0.1798891,5.6766435,-2964.9619910,12.0000000
143.0514167,-27.7308438,-4.2151245,-1.7131951,-0.1772201,5.6766435,-2911.2850712,12.0000000
143.6190810,-27.1674103,-4.2843018,-1.6929631,-0.1782393,5.6766435,-2857.3499068,12.0000000
144.1867454,-26.6062963,-4.3702894,-1.7228577,0.2633432,5.6766435,-2802.4024126,12.0000000
144.7544097,-26.0468130,-4.4663171,-1.7407766,0.1578629,5.6766435,-2747.3774007,12.0000000
145.3220741,-25.4884310,-4.5685538,-1.7518850,0.0978674,5.6766435,-2693.0263219,12.0000000
145.8897384,-24.9307908,-4.6747623,-1.7590028,0.0627101,5.6766435,-2639.1702811,12.0000000
146.4574028,-24.3736571,-4.7835960,-1.7637126,0.0414947,5.6766435,-2585.6955772,12.0000000
147.0250671,-23.8168761,-4.8942204,-1.7669278,0.0283268,5.6766435,-2532.5339950,12.0000000
147.5927315,-23.2603468,-5.0061041,-1.7691901,0.0199320,5.6766435,-2479.6465564,12.0000000
148.1603958,-22.7040017,-5.1189001,-1.7708295,0.0144435,5.6766435,-2427.0128044,12.0000000
148.7280602,-22.1477949,-5.2323760,-1.7720519,0.0107696,5.6766435,-2374.6241894,12.0000000
149.2957245,-21.5916946,-5.3463732,-1.7729890,0.0082563,5.6766435,-2322.4800737,12.0000000
